제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,우리기준_대분류,우리기준_중분류,우리기준_소분류,출산양육_관련도,필터근거_키워드,분류근거_키워드,분류신뢰도
PROP-187655,결식아동을 돕는 꿈나무카드의 개선안을 제안합니다!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187655,2020-06-12,2020,8.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187655,보육·돌봄 인프라,어린이·아동 생활환경,아동친화 환경·시설,출산양육 후보,아동,아동,하
PROP-187651,임산부 출퇴근 택시비 감면 복지(바우쳐카드 허용 등),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187651,2020-06-11,2020,6.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187651,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-187645,대중교통 버스 임산부석 대책 요망,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187645,2020-06-10,2020,10.0,2,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187645,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,출산양육 후보,"임산, 임산부","임산부석, 대중교통, 버스",상
PROP-187434,지하철 임산부 배려석에 IoT 기술 접목한다면?,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187434,2020-05-25,2020,6.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187434,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-187401,지하철 임산부 배려석,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187401,2020-05-21,2020,3.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187401,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산, 배려석",상
PROP-187092,초등학생을 위한 보드게임 대여사업 제안합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187092,2020-04-21,2020,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187092,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,초등학생,"초등학생, 초등",상
PROP-187005,"서울특별시 신혼부부 전세대출제도에서, 장기전세도 지원에 포함시켜주세요.",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187005,2020-04-09,2020,7.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=187005,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 전세",상
PROP-186943,초등 온라인개학이 직장부모 자녀의 교육 불평등이 이어지지 않을 대책이 필요합니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186943,2020-04-05,2020,66.0,2,Y,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186943,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,출산양육 후보,자녀,초등,중
PROP-186877,서울숲 주차장 부지  신혼희망타운이나 역세권 청년주택으로,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186877,2020-04-01,2020,5.0,1,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186877,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,신혼,"신혼, 주택",상
PROP-186865,저소득층자녀 온라인수업을 지정된 PC방이용하게 하는건 어떨까요?,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186865,2020-03-31,2020,1.0,1,N,미상,취약·다양가족 사각지대,저소득·차상위·입양,저소득가구 양육지원,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186865,취약·다양가족 사각지대,저소득·차상위·입양,저소득·입양가정 지원,출산양육 후보,자녀,저소득,중
PROP-186769,서울시 장애인시설 임산부 종사자 재택근무,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186769,2020-03-24,2020,2.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186769,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-186658,2020년 신혼부부 전세자금 대출 이자 지원 기준 변경 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186658,2020-03-13,2020,1.0,1,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186658,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,"신혼부부, 신혼, 부부","신혼부부, 신혼, 전세",상
PROP-186619,임산부들을 위한 마스크 무료 제공 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186619,2020-03-11,2020,0.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186619,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-186597,코로나로 인한 신혼여행 휴가 연기,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186597,2020-03-10,2020,110.0,16,Y,미상,일·가정 양립·부모 노동,육아휴직·출산휴가,육아휴직·출산휴가 확대,부모 노동·돌봄 병행,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186597,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,출산양육 후보,신혼,신혼,중
PROP-186511,코로나 19 임산부 및 노약자 재택근무 요청드립니다.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186511,2020-02-29,2020,6.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186511,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,출산양육 후보,"임산, 임산부","임산부, 임산",상
PROP-186464,산후도우미 사용기간 예외적용(코로나 상황),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186464,2020-02-24,2020,15.0,1,N,미상,출산·산후 초기지원,산후조리·도우미,산후조리·산모 회복 지원,출산 직후,가족건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=186464,출산·산후 초기지원,산후조리·도우미,산후조리·산모 회복 지원,출산양육 후보,산후,"산후, 도우미",상
