제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL
PROP-183733,서울시 수련원 평일에 시민이나 퇴직자도 사용하게끔 제도개선 하여 세수확보,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183733,2019-01-30,2019,1.0,1,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183733
PROP-183724,유기견을 학교에서 보살피자,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183724,2019-01-29,2019,0.0,0,N,미상,취약·다양가족 사각지대,위기임산부,위기임산부 보호,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183724
PROP-183722,"농,어촌 빈집을 도시 퇴직자에게 단기임대로 살아볼수 있도록 휴식공간 마련",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183722,2019-01-29,2019,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183722
PROP-183717,신규 입주 공동주택 임대사업자 등록 절차 개선,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183717,2019-01-28,2019,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183717
PROP-183716,정류소 방안 대기 장소 및 신호등 개선 미세먼지 신호등 설치,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183716,2019-01-28,2019,0.0,0,N,미상,정보·상담·교육·거버넌스,신청·서류·기준 개선,출산정책 소급·기준 개선,공통 행정·정보,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183716
PROP-183713,통인시장 도시락카페 일회용품 사용개선,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183713,2019-01-28,2019,0.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183713
PROP-183707,다중이용시설 내에 간이 방독면을 비치 어떻게 생각하십니까?,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183707,2019-01-26,2019,0.0,0,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183707
PROP-183698,지하철 역사내 의자에 가변 탁자를 설치하자,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183698,2019-01-24,2019,1.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183698
PROP-183693,"한강다리 난간, 남산타워 리모델링,빌딩  미디어파사드,가로수 밑 관목 보강",https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183693,2019-01-24,2019,1.0,0,N,미상,주거·교통·도시생활환경,공공시설·생활편의,공공시설 어린이 편의,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183693
PROP-183694,지하철 승강장 벤치를 더 많이,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183694,2019-01-24,2019,0.0,0,N,미상,주거·교통·도시생활환경,유모차·교통 접근성,유모차 대중교통 접근성,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=183694
