제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,분류근거_키워드,분류신뢰도,출산양육관련여부,수집방식
PROP-196482,출퇴근길 자전거 도로에 유모차나 보행자가 걷지 못하게 해주세요.,출퇴근길 자전거 도로에 유모차나 보행자가 걷지 못하게 해주세요.,2024-06-27,2024,4.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196482,직접키워드 (유모차),상,직접관련,ver1 수집
PROP-196474,임산부 등 노약자석 무단 착석 대처방법,임산부 등 노약자석 무단 착석 대처방법,2024-06-26,2024,2.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196474,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-196468,지하철 임산부 배려석에   지하철 보완요원  수시검사,지하철 임산부 배려석에   지하철 보완요원  수시검사,2024-06-25,2024,2.0,2,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196468,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-196356,임산부 배려석 관련해서 제안드립니다.,임산부 배려석 관련해서 제안드립니다.,2024-06-12,2024,4.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196356,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-196336,출산률 향상을 위한 저출산 대책,출산률 향상을 위한 저출산 대책,2024-06-10,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196336,직접키워드 (출산),상,직접관련,ver1 수집
PROP-196331,북아현지역 우리동네 키움센터,북아현지역 우리동네 키움센터,2024-06-09,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196331,직접키워드 (키움센터),상,직접관련,ver1 수집
PROP-196309,임산부 좌석 태그시행 제도,임산부 좌석 태그시행 제도,2024-06-05,2024,40.0,3,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196309,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-196294,관악구에도 거점 키움센터가 있었으면 좋겠습니다~,관악구에도 거점 키움센터가 있었으면 좋겠습니다~,2024-06-02,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196294,직접키워드 (키움센터),상,직접관련,ver1 수집
PROP-196279,정부 아이돌봄서비스 개선 요청,정부 아이돌봄서비스 개선 요청,2024-05-30,2024,3.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196279,직접키워드 (아이돌봄),상,직접관련,ver1 수집
PROP-196273,저출산 문제 해결방안,저출산 문제 해결방안,2024-05-29,2024,2.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196273,직접키워드 (출산),상,직접관련,ver1 수집
PROP-196265,저출산 대책 베이비씨터 돌봄비용,저출산 대책 베이비씨터 돌봄비용,2024-05-29,2024,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196265,직접키워드 (출산),상,직접관련,ver1 수집
PROP-196238,청년 복지를 줄이는게 오히려 저출산 해결에 도움됩니다,청년 복지를 줄이는게 오히려 저출산 해결에 도움됩니다,2024-05-25,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196238,직접키워드 (출산),상,직접관련,ver1 수집
PROP-196215,저출산 문제 해결을 위한 폐교부지 활용,저출산 문제 해결을 위한 폐교부지 활용,2024-05-21,2024,22.0,6,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196215,직접키워드 (출산),상,직접관련,ver1 수집
PROP-196209,지하철 임산부석 앱 설치 건의,지하철 임산부석 앱 설치 건의,2024-05-20,2024,7.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196209,직접키워드 (임산부),상,직접관련,ver1 수집
PROP-196158,영유아 부모 우대 교통 정책,영유아 부모 우대 교통 정책,2024-05-11,2024,0.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=196158,직접키워드 (영유아),상,직접관련,ver1 수집
