제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,원문URL,대분류,중분류,소분류,분류근거_키워드,분류신뢰도,출산양육관련여부,수집키워드,수집방식,제외사유
PROP-181229,월컴 키즈존 - 아이들과 함께하는 행복한 식사,월컴 키즈존 - 아이들과 함께하는 행복한 식사,2018-05-14,2018,6.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181229,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,키즈존,상,직접관련,키즈존,확장 1차 생활키워드 수집,
PROP-181065,어린이보호구역 불법주차 단속 민원신청 방법 을 바꾸어 주세요,어린이보호구역 불법주차 단속 민원신청 방법 을 바꾸어 주세요,2018-04-25,2018,1.0,0,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181065,정보·상담·교육·거버넌스,정보 접근성,정보통합·상담·신청,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-181015,서울시 어린이 보호구역 안전휀스 개선,서울시 어린이 보호구역 안전휀스 개선,2018-04-19,2018,11.0,1,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181015,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전/보호구역 + 어린이,중,조합관련,아동_안전환경: 안전/보호구역 + 어린이,2차 문맥조합 수집,
PROP-180989,서울시내 도로교통법 바껴야한다고 봅니다. (시내한복판/스쿨존/어린이보호구역/노인보호구역),서울시내 도로교통법 바껴야한다고 봅니다. (시내한복판/스쿨존/어린이보호구역/노인보호구역),2018-04-17,2018,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=180989,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역/스쿨존 + 어린이,중,조합관련,아동_안전환경: 보호구역/스쿨존 + 어린이,2차 문맥조합 수집,
PROP-180851,"어린이보호구역 도로교통법위반집중단속하자,,,","어린이보호구역 도로교통법위반집중단속하자,,,",2018-04-10,2018,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=180851,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-180818,서울시 공공화장실 기저귀교환대 살균소독기 비치,서울시 공공화장실 기저귀교환대 살균소독기 비치,2018-04-07,2018,12.0,2,Y,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=180818,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,"기저귀교환대, 기저귀",상,직접관련,기저귀교환대,확장 1차 생활키워드 수집,
PROP-180721,어린이 보호구역을 넘어 아동ㆍ청소년 보호구역으로 확대 제안,어린이 보호구역을 넘어 아동ㆍ청소년 보호구역으로 확대 제안,2018-03-30,2018,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=180721,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 아동/어린이,중,조합관련,아동_안전환경: 보호구역 + 아동/어린이,2차 문맥조합 수집,
PROP-180586,서울시 공공화장실 기저귀교환대 살균소독기 비치,서울시 공공화장실 기저귀교환대 살균소독기 비치,2018-03-13,2018,9.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=180586,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,"기저귀교환대, 기저귀",상,직접관련,기저귀교환대,확장 1차 생활키워드 수집,
PROP-180585,서울시 어린이 보호구역 안전휀스 개선,서울시 어린이 보호구역 안전휀스 개선,2018-03-13,2018,8.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=180585,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 안전/보호구역 + 어린이,중,조합관련,아동_안전환경: 안전/보호구역 + 어린이,2차 문맥조합 수집,
PROP-180477,어린이보호구역 주정차단속필요&lt;&lt;&lt;,어린이보호구역 주정차단속필요&lt;&lt;&lt;,2018-02-26,2018,0.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=180477,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,아동_안전환경: 보호구역 + 어린이,중,조합관련,아동_안전환경: 보호구역 + 어린이,2차 문맥조합 수집,
PROP-180443,지하철 역 내 수유실 환경개선이 필요해요!,지하철 역 내 수유실 환경개선이 필요해요!,2018-02-21,2018,10.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=180443,보육·돌봄 인프라,아동 놀이·체험공간,공공키즈카페·수유실·유아휴게실,수유실,상,직접관련,수유실,확장 1차 생활키워드 수집,
PROP-180422,서울시 25개 자치구청 보건소 예방접종 의료진료기록 평생관리 개선토록 개선,서울시 25개 자치구청 보건소 예방접종 의료진료기록 평생관리 개선토록 개선,2018-02-17,2018,2.0,1,N,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=180422,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,예방접종,상,직접관련,예방접종,확장 1차 생활키워드 수집,
