제안ID,제안제목,제안본문내용,등록일자,연도,공감수,댓글수,답변여부,자치구,임시_대분류,임시_중분류,임시_세분류,임시_생애주기,임시_담당부서,원문URL,출산양육관련여부,분류근거_키워드,분류신뢰도,수집방식,제외사유,대분류,중분류,소분류,보정필터_소스
PROP-194486,한부모 가정 혜택 요청,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194486,2023-05-17,2023,1.0,0,N,미상,취약·다양가족 사각지대,한부모·미혼모/부,한부모·미혼모 지원,사각지대 보호,가족지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194486,직접관련,한부모,상,기존 1차 직접키워드 수집,,취약·다양가족 사각지대,한부모·위기임산부,한부모·미혼부모·위기임산부,신규추가7586_제목본문기준
PROP-194428,신혼부부 임차보증금 이자지원사업 대출한도 변경에 따른 증액 검토 요청의 건,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194428,2023-05-02,2023,7.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194428,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-194254,시도 거주지 구분 없는 다둥이 부모 주차요금 할인 확대 추진 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194254,2023-03-30,2023,57.0,6,Y,미상,다자녀·양육비·생활지원,다자녀 기준·혜택,다자녀 인정 기준 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194254,직접관련,다둥이,상,기존 1차 직접키워드 수집,,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,신규추가7586_제목본문기준
PROP-194058,다둥이 모바일카드(앱) 발급을 제안합니다,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194058,2023-02-14,2023,1.0,0,N,미상,다자녀·양육비·생활지원,다자녀 기준·혜택,다자녀 인정 기준 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=194058,직접관련,다둥이,상,기존 1차 직접키워드 수집,,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,신규추가7586_제목본문기준
PROP-193946,임산부 입덧약 지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193946,2023-01-20,2023,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193946,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-193892,키움센터 늘려주세요,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193892,2023-01-10,2023,1.0,0,N,미상,보육·돌봄 인프라,초등돌봄·방과후·키움센터,초등 방과후·늘봄,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193892,직접관련,키움센터,상,기존 1차 직접키워드 수집,,보육·돌봄 인프라,초등돌봄,초등돌봄·방과후,신규추가7586_제목본문기준
PROP-193765,서울시 신혼부부 임차보증금 이자지원사업 금리 지원 확대 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193765,2022-12-16,2022,2.0,1,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193765,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-193726,야간 소아응급 의료진 확충 방안 건의,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193726,2022-12-12,2022,1.0,1,N,미상,보육·돌봄 인프라,야간·주말·긴급보육,야간·주말·긴급보육,영유아·초등 돌봄,돌봄사업팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193726,직접관련,소아응급,상,확장 1차 생활키워드 수집,,보육·돌봄 인프라,아동 건강·의료 접근성,소아응급·야간진료·영유아검진,신규추가7586_제목본문기준
PROP-193715,지하철 임산부석 위한 벨,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193715,2022-12-10,2022,7.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193715,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-193539,서울시 신혼부부 임차보증금 연장,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193539,2022-11-10,2022,0.0,0,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193539,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-193443,대중교통 임산부석을 임산부가 앉을수있도록 배려해주세요!!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193443,2022-10-28,2022,1.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193443,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-193371,미세먼지 취약계층(임산부) 지원으로 안전한 환경조성,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193371,2022-10-12,2022,5.0,1,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193371,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-193296,임산부 대중교통 이용 배려안 (임산부 알림 기능 제안),https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193296,2022-09-23,2022,103.0,7,Y,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193296,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-193109,임산부석 실효성 높여주세요!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193109,2022-08-18,2022,2.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193109,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-193096,장애인 주차장 다둥이 이용 가능하게!!,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193096,2022-08-18,2022,0.0,0,N,미상,다자녀·양육비·생활지원,다자녀 기준·혜택,다자녀 인정 기준 완화,양육기 생활지원,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193096,직접관련,다둥이,상,기존 1차 직접키워드 수집,,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,신규추가7586_제목본문기준
PROP-193054,지하철 임산부석 개선방향,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193054,2022-08-12,2022,0.0,0,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193054,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-193051,서울시 신혼부부 전세대출 한도 증액 제안,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193051,2022-08-12,2022,7.0,1,N,미상,주거·교통·도시생활환경,무주택·월세·주거비,무주택 출산가구 주거비,도시생활 기반,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=193051,직접관련,신혼부부,상,기존 1차 직접키워드 수집,,주거·교통·도시생활환경,출산가구 주거,신혼부부·출산가구 주거지원,신규추가7586_제목본문기준
PROP-192981,임산부 배려석이 잘 활용됐으면 좋겠어요~,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192981,2022-08-02,2022,15.0,4,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192981,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-192881,임산부 배려석,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192881,2022-07-14,2022,111.0,12,Y,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192881,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-192867,서울시 외국인 임산부 교통비지원,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192867,2022-07-11,2022,48.0,5,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192867,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
PROP-192824,서울시 임산부 교통비 지원 사업 외국인 임산부도 포함시켜주세요.,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192824,2022-06-30,2022,18.0,3,N,미상,임신·난임·생식건강,임산부 건강검사·배려,임산부 배려·건강관리,임신 전·임신 중,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=192824,직접관련,임산부,상,기존 1차 직접키워드 수집,,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,신규추가7586_제목본문기준
