proposal_id,title,issue_type,severity,detail,recommendation,category,sub_category,micro_category,department,source_url
PROP-181921,큰 건물의 하수처리 시설 설치를 지원해 주세요. (열섬 현상 개선 아이디어),CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181921
PROP-181921,큰 건물의 하수처리 시설 설치를 지원해 주세요. (열섬 현상 개선 아이디어),CORRECTED_EXCLUSION_STALE,high,출산·양육 직접 키워드 또는 조합 조건 미충족 (근거: data/processed/ver2_expanded/상상대로_추가크롤링후보_보정제외로그_ver3.csv),최종 데이터에서 제외 또는 별도 범위 밖 보관,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181921
PROP-181921,큰 건물의 하수처리 시설 설치를 지원해 주세요. (열섬 현상 개선 아이디어),DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181921
PROP-181809,서울 및 수도권 지하철에 있는 &#34;임산부 배려석&#34; 개선 요청합니다.,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181809
PROP-181809,서울 및 수도권 지하철에 있는 &#34;임산부 배려석&#34; 개선 요청합니다.,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181809
PROP-181809,서울 및 수도권 지하철에 있는 &#34;임산부 배려석&#34; 개선 요청합니다.,POLICY_UNVERIFIABLE,high,본문 없이 현행 정책이 저장 연결됨,정책 연결 제거·보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181809
PROP-181602,다문화 가정 자녀들의 교육권을 보장하기 위한 정책 제안합니다,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181602
PROP-181602,다문화 가정 자녀들의 교육권을 보장하기 위한 정책 제안합니다,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181602
PROP-181473,다자녀가정 할인 정책,TAXONOMY_MISMATCH,medium,"내용 기반 후보=출산·산후 초기지원, 현재=다자녀·양육비·생활지원",본문 확인 후 대·중·소분류 재분류,다자녀·양육비·생활지원,다자녀 혜택,다자녀 기준·할인·감면,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181473
PROP-181300,유아용 체험학습장소 실내식사장소 확대해주세요,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181300
PROP-181300,유아용 체험학습장소 실내식사장소 확대해주세요,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181300
PROP-181276,"서울 녹지, 공원, 아동청소년 놀이터 확충 요구한다",CORRECTED_EXCLUSION_STALE,high,일반 아동/학교/시설/안전 제안: 청소년 중심이며 출산·양육 직접 맥락 부족 (근거: data/processed/ver2_expanded/상상대로_신규수집_출산양육후보_보정제외로그_ver3.csv),최종 데이터에서 제외 또는 별도 범위 밖 보관,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181276
PROP-181276,"서울 녹지, 공원, 아동청소년 놀이터 확충 요구한다",TAXONOMY_MISMATCH,medium,"내용 기반 후보=주거·교통·도시생활환경, 현재=정보·상담·교육·거버넌스",본문 확인 후 대·중·소분류 재분류,정보·상담·교육·거버넌스,정보 접근성,일반 출산정책 안건,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181276
PROP-181065,어린이보호구역 불법주차 단속 민원신청 방법 을 바꾸어 주세요,CORRECTED_EXCLUSION_STALE,high,"일반 아동/학교/시설/안전 제안: 학교, 보호구역 중심이며 출산·양육 직접 맥락 부족 (근거: data/processed/ver2_expanded/상상대로_신규수집_출산양육후보_보정제외로그_ver3.csv)",최종 데이터에서 제외 또는 별도 범위 밖 보관,정보·상담·교육·거버넌스,정보 접근성,정보통합·상담·신청,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181065
PROP-181065,어린이보호구역 불법주차 단속 민원신청 방법 을 바꾸어 주세요,TAXONOMY_MISMATCH,medium,"내용 기반 후보=주거·교통·도시생활환경, 현재=정보·상담·교육·거버넌스",본문 확인 후 대·중·소분류 재분류,정보·상담·교육·거버넌스,정보 접근성,정보통합·상담·신청,저출생사업1팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181065
PROP-181060,서울지하철에 임산부 핑크라이트 설치를 제안합니다,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181060
PROP-181060,서울지하철에 임산부 핑크라이트 설치를 제안합니다,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181060
PROP-181060,서울지하철에 임산부 핑크라이트 설치를 제안합니다,POLICY_UNVERIFIABLE,high,본문 없이 현행 정책이 저장 연결됨,정책 연결 제거·보류,임신·난임·생식건강,임산부 건강·배려,임산부 건강관리·배려,건강임신지원팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181060
PROP-181051,서울시 산후도우미 관련 적용기준이 궁금합니다.,CONTENT_MISSING,high,본문이 없거나 제목 반복형,원문 재수집 전 정책·부서 판정 보류,출산·산후 초기지원,산후조리,산후조리·산모도우미,건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181051
PROP-181051,서울시 산후도우미 관련 적용기준이 궁금합니다.,DEPARTMENT_UNVERIFIABLE,high,본문 없이 주관·협조부서가 지정됨,원문 복구 전 부서 판정 보류,출산·산후 초기지원,산후조리,산후조리·산모도우미,건강팀,https://idea.seoul.go.kr/front/freeSuggest/view.do?sn=181051
